iter	Passed	Remaining
421	2501	15284
422	2506	15271
423	2511	15261
424	2516	15247
425	2525	15259
426	2530	15247
427	2535	15237
428	2540	15224
429	2545	15213
430	2549	15197
431	2554	15186
432	2560	15176
433	2565	15167
434	2569	15152
435	2575	15143
436	2580	15133
437	2585	15123
438	2589	15108
439	2595	15098
440	2600	15087
441	2605	15076
442	2609	15063
443	2614	15053
444	2620	15044
445	2624	15030
446	2629	15017
447	2634	15007
448	2639	14995
449	2643	14981
450	2648	14971
451	2654	14963
452	2659	14953
453	2664	14939
454	2668	14928
455	2674	14920
456	2679	14910
457	2684	14900
458	2690	14892
459	2695	14881
460	2700	14872
461	2706	14865
462	2711	14857
463	2716	14845
464	2721	14835
465	2725	14822
466	2730	14811
467	2734	14796
468	2741	14792
469	2745	14781
470	2750	14768
471	2755	14756
472	2760	14746
473	2764	14733
474	2769	14722
475	2774	14711
476	2779	14700
477	2783	14688
478	2788	14676
479	2793	14664
480	2797	14652
481	2802	14642
482	2807	14630
483	2812	14618
484	2816	14607
485	2822	14597
486	2828	14595
487	2832	14582
488	2837	14571
489	2842	14560
490	2847	14550
491	2851	14537
492	2856	14525
493	2861	14515
494	2866	14506
495	2872	14499
496	2876	14486
497	2881	14476
498	2885	14464
499	2890	14452
500	2895	14442
501	2899	14429
502	2904	14416
503	2908	14404
504	2912	14391
505	2917	14379
506	2922	14368
507	2926	14356
508	2931	14344
509	2936	14334
510	2940	14321
511	2944	14309
512	2949	14298
513	2954	14287
514	2958	14273
515	2962	14261
516	2966	14248
517	2971	14236
518	2976	14227
519	2980	14216
520	2985	14203
521	2989	14193
522	2994	14183
523	2999	14171
524	3003	14161
525	3008	14151
526	3012	14138
527	3017	14127
528	3022	14117
529	3026	14106
530	3031	14095
531	3036	14087
532	3041	14077
533	3045	14066
534	3050	14055
535	3055	14044
536	3059	14032
537	3064	14022
538	3068	14012
539	3073	13999
540	3077	13988
541	3082	13978
542	3086	13966
543	3090	13953
544	3095	13945
545	3100	13934
546	3104	13922
547	3109	13913
548	3114	13903
549	3120	13900
550	3125	13893
551	3130	13883
552	3135	13873
553	3139	13863
554	3144	13853
555	3149	13842
556	3153	13831
557	3158	13821
558	3162	13810
559	3167	13800
560	3171	13789
561	3176	13780
562	3180	13769
563	3185	13760
564	3190	13751
565	3195	13740
566	3199	13730
567	3204	13722
568	3209	13713
569	3214	13702
570	3218	13692
571	3223	13682
572	3227	13671
573	3232	13661
574	3237	13652
575	3241	13642
576	3246	13631
577	3251	13622
578	3255	13614
579	3260	13603
580	3264	13593
581	3269	13585
582	3274	13575
583	3279	13565
584	3284	13557
585	3288	13547
586	3292	13535
587	3297	13527
588	3302	13517
589	3306	13507
590	3311	13496
591	3316	13489
592	3321	13480
593	3325	13471
594	3330	13461
595	3334	13451
596	3338	13439
597	3343	13431
598	3348	13420
599	3352	13411
600	3357	13402
601	3362	13392
602	3366	13380
603	3372	13376
604	3378	13375
605	3384	13368
606	3388	13360
607	3394	13354
608	3399	13347
609	3404	13340
610	3409	13332
611	3414	13321
612	3418	13312
613	3424	13306
614	3429	13298
615	3434	13291
616	3439	13284
617	3444	13278
618	3450	13270
619	3454	13261
620	3459	13254
621	3464	13246
622	3470	13239
623	3474	13230
624	3480	13227
625	3486	13223
626	3496	13233
627	3503	13231
628	3517	13259
629	3522	13250
630	3525	13234
631	3528	13220
632	3531	13203
633	3534	13188
634	3536	13172
635	3539	13156
636	3542	13140
637	3544	13123
638	3547	13107
639	3550	13092
640	3553	13077
641	3556	13061
642	3559	13047
643	3562	13032
644	3564	13016
645	3568	13002
646	3570	12985
